类型,母序列,子序列,采样点,关联系数
铅钡,PbO,SrO,19,0.9376317203
铅钡,PbO,SrO,20,0.9757085957
铅钡,PbO,SrO,23未风化点,0.9620613995
铅钡,PbO,SrO,24,0.8639335582
铅钡,PbO,SrO,25未风化点,0.9669076298
铅钡,PbO,SrO,26,0.9647079524
铅钡,PbO,SrO,26严重风化点,0.9260833318
铅钡,PbO,SrO,28未风化点,0.9852765783
铅钡,PbO,SrO,29未风化点,0.9696629028
铅钡,PbO,SrO,30部位1,0.9851808227
铅钡,PbO,SrO,30部位2,0.9783965138
铅钡,PbO,SrO,31,0.9682537079
铅钡,PbO,SrO,32,0.9493682852
铅钡,PbO,SrO,33,0.9582717752
铅钡,PbO,SrO,34,0.9355933443
铅钡,PbO,SrO,35,0.9437902654
铅钡,PbO,SrO,36,0.9474982745
铅钡,PbO,SrO,37,0.9675700725
铅钡,PbO,SrO,38,0.9738624435
铅钡,PbO,SrO,39,0.9934529165
铅钡,PbO,SrO,40,0.9868669318
铅钡,PbO,SrO,41,0.99787376
铅钡,PbO,SrO,42未风化点1,0.9696265492
铅钡,PbO,SrO,42未风化点2,0.9484870274
铅钡,PbO,SrO,43部位1,0.9963515698
铅钡,PbO,SrO,43部位2,0.999582079
铅钡,PbO,SrO,44未风化点,0.9705367926
铅钡,PbO,SrO,45,0.9841831601
铅钡,PbO,SrO,46,0.958765919
铅钡,PbO,SrO,47,0.8680324079
铅钡,PbO,SrO,48,0.9784322
铅钡,PbO,SrO,49,0.9741390706
铅钡,PbO,SrO,49未风化点,0.9850292645
铅钡,PbO,SrO,50,0.9506051178
铅钡,PbO,SrO,50未风化点,0.977611192
铅钡,PbO,SrO,51部位1,0.9926612688
铅钡,PbO,SrO,51部位2,0.8778219129
铅钡,PbO,SrO,52,0.986305604
铅钡,PbO,SrO,53未风化点,0.9682161595
铅钡,PbO,SrO,54,0.9275335054
铅钡,PbO,SrO,54严重风化点,0.88299862
铅钡,PbO,SrO,55,0.9181826881
铅钡,PbO,SrO,56,0.8994801714
铅钡,PbO,SrO,57,0.8910911977
铅钡,PbO,SrO,58,0.9578030208
铅钡,PbO,SnO2,02,0.886089814
铅钡,PbO,SnO2,08,0.9280042207
铅钡,PbO,SnO2,08严重风化点,0.9192611386
铅钡,PbO,SnO2,11,0.9357711591
铅钡,PbO,SnO2,19,0.8960402137
铅钡,PbO,SnO2,20,0.9757085957
铅钡,PbO,SnO2,23未风化点,0.9562291021
铅钡,PbO,SnO2,24,0.9269285276
铅钡,PbO,SnO2,25未风化点,0.9205263764
铅钡,PbO,SnO2,26,0.9260184784
铅钡,PbO,SnO2,26严重风化点,0.9251102144
铅钡,PbO,SnO2,28未风化点,0.7624705848
铅钡,PbO,SnO2,29未风化点,0.9679802335
铅钡,PbO,SnO2,30部位1,0.659419704
铅钡,PbO,SnO2,30部位2,0.6317688208
铅钡,PbO,SnO2,31,0.9572991728
铅钡,PbO,SnO2,32,0.9493682852
铅钡,PbO,SnO2,33,0.9582717752
铅钡,PbO,SnO2,34,0.8879721368
铅钡,PbO,SnO2,35,0.9437902654
铅钡,PbO,SnO2,36,0.8986890595
铅钡,PbO,SnO2,37,0.9555832424
铅钡,PbO,SnO2,38,0.882095103
铅钡,PbO,SnO2,39,0.8579818675
铅钡,PbO,SnO2,40,0.8399959605
铅钡,PbO,SnO2,41,0.8932116914
铅钡,PbO,SnO2,42未风化点1,0.9442021009
铅钡,PbO,SnO2,42未风化点2,0.9484870274
铅钡,PbO,SnO2,43部位1,0.8603498012
铅钡,PbO,SnO2,43部位2,0.8918473601
铅钡,PbO,SnO2,44未风化点,0.9646801302
铅钡,PbO,SnO2,45,0.9586963488
铅钡,PbO,SnO2,46,0.9361045521
铅钡,PbO,SnO2,47,0.9357473544
铅钡,PbO,SnO2,48,0.3334621081
铅钡,PbO,SnO2,49,0.9153039686
铅钡,PbO,SnO2,49未风化点,0.9414472369
铅钡,PbO,SnO2,50,0.8934720374
铅钡,PbO,SnO2,50未风化点,0.9235076429
铅钡,PbO,SnO2,51部位1,0.6162101345
铅钡,PbO,SnO2,51部位2,0.8778219129
铅钡,PbO,SnO2,52,0.8861111592
铅钡,PbO,SnO2,53未风化点,0.9645536525
铅钡,PbO,SnO2,54,0.8692752747
铅钡,PbO,SnO2,54严重风化点,0.8631559681
铅钡,PbO,SnO2,55,0.9181826881
铅钡,PbO,SnO2,56,0.8994801714
铅钡,PbO,SnO2,57,0.8910911977
铅钡,PbO,SnO2,58,0.9036786658
铅钡,PbO,SO2,02,0.886089814
铅钡,PbO,SO2,08,0.823603362
铅钡,PbO,SO2,08严重风化点,0.3823277715
铅钡,PbO,SO2,11,0.9357711591
铅钡,PbO,SO2,19,0.8960402137
铅钡,PbO,SO2,20,0.9757085957
铅钡,PbO,SO2,23未风化点,0.9562291021
铅钡,PbO,SO2,24,0.9269285276
铅钡,PbO,SO2,25未风化点,0.9205263764
铅钡,PbO,SO2,26,0.8759881572
铅钡,PbO,SO2,26严重风化点,0.3667372508
铅钡,PbO,SO2,28未风化点,0.9558315467
铅钡,PbO,SO2,29未风化点,0.9679802335
铅钡,PbO,SO2,30部位1,0.9039673643
铅钡,PbO,SO2,30部位2,0.9072671368
铅钡,PbO,SO2,31,0.9572991728
铅钡,PbO,SO2,32,0.9493682852
铅钡,PbO,SO2,33,0.9582717752
铅钡,PbO,SO2,34,0.8879721368
铅钡,PbO,SO2,35,0.9437902654
铅钡,PbO,SO2,36,0.8986890595
铅钡,PbO,SO2,37,0.7311377897
铅钡,PbO,SO2,38,0.882095103
铅钡,PbO,SO2,39,0.8579818675
铅钡,PbO,SO2,40,0.8399959605
铅钡,PbO,SO2,41,0.8932116914
铅钡,PbO,SO2,42未风化点1,0.9442021009
铅钡,PbO,SO2,42未风化点2,0.9484870274
铅钡,PbO,SO2,43部位1,0.8603498012
铅钡,PbO,SO2,43部位2,0.8918473601
铅钡,PbO,SO2,44未风化点,0.9646801302
铅钡,PbO,SO2,45,0.9586963488
铅钡,PbO,SO2,46,0.9361045521
铅钡,PbO,SO2,47,0.9357473544
铅钡,PbO,SO2,48,0.9593964674
铅钡,PbO,SO2,49,0.9153039686
铅钡,PbO,SO2,49未风化点,0.9414472369
铅钡,PbO,SO2,50,0.8934720374
铅钡,PbO,SO2,50未风化点,0.9235076429
铅钡,PbO,SO2,51部位1,0.9017071335
铅钡,PbO,SO2,51部位2,0.8778219129
铅钡,PbO,SO2,52,0.8861111592
铅钡,PbO,SO2,53未风化点,0.9645536525
铅钡,PbO,SO2,54,0.8692752747
铅钡,PbO,SO2,54严重风化点,0.8631559681
铅钡,PbO,SO2,55,0.9181826881
铅钡,PbO,SO2,56,0.8994801714
铅钡,PbO,SO2,57,0.8910911977
铅钡,PbO,SO2,58,0.9036786658
铅钡,BaO,SiO2,02,0.9212208687
铅钡,BaO,SiO2,08,0.8161117313
铅钡,BaO,SiO2,08严重风化点,0.7957981861
铅钡,BaO,SiO2,11,0.9537950666
铅钡,BaO,SiO2,19,0.9773905758
铅钡,BaO,SiO2,20,0.8947360804
铅钡,BaO,SiO2,23未风化点,0.9773339584
铅钡,BaO,SiO2,24,0.8666762418
铅钡,BaO,SiO2,25未风化点,0.9423245187
铅钡,BaO,SiO2,26,0.8096791464
铅钡,BaO,SiO2,26严重风化点,0.7687057015
铅钡,BaO,SiO2,28未风化点,0.8887445731
铅钡,BaO,SiO2,29未风化点,0.8838036209
铅钡,BaO,SiO2,30部位1,0.9911390833
铅钡,BaO,SiO2,30部位2,0.9966519306
铅钡,BaO,SiO2,31,0.8885070607
铅钡,BaO,SiO2,32,0.8915140172
铅钡,BaO,SiO2,33,0.8718576893
铅钡,BaO,SiO2,34,0.996996311
铅钡,BaO,SiO2,35,0.9043698388
铅钡,BaO,SiO2,36,0.9986724136
铅钡,BaO,SiO2,37,0.9511223448
铅钡,BaO,SiO2,38,0.9921657085
铅钡,BaO,SiO2,39,0.9988087621
铅钡,BaO,SiO2,40,0.9813061733
铅钡,BaO,SiO2,41,0.9599310328
铅钡,BaO,SiO2,42未风化点1,0.9714680891
铅钡,BaO,SiO2,42未风化点2,0.974703016
铅钡,BaO,SiO2,43部位1,0.9667192081
铅钡,BaO,SiO2,43部位2,0.9778295158
铅钡,BaO,SiO2,44未风化点,0.9111001684
铅钡,BaO,SiO2,45,0.9535542885
铅钡,BaO,SiO2,46,0.9594518028
铅钡,BaO,SiO2,47,0.9607427957
铅钡,BaO,SiO2,48,0.9417510307
铅钡,BaO,SiO2,49,0.9856318277
铅钡,BaO,SiO2,49未风化点,0.9156485061
铅钡,BaO,SiO2,50,0.9245080008
铅钡,BaO,SiO2,50未风化点,0.9507643408
铅钡,BaO,SiO2,51部位1,0.9803128145
铅钡,BaO,SiO2,51部位2,0.9520868643
铅钡,BaO,SiO2,52,0.9854172898
铅钡,BaO,SiO2,53未风化点,0.9332485555
铅钡,BaO,SiO2,54,0.9911018006
铅钡,BaO,SiO2,54严重风化点,0.9612332893
铅钡,BaO,SiO2,55,0.9559510773
铅钡,BaO,SiO2,56,0.9378696596
铅钡,BaO,SiO2,57,0.9164239222
铅钡,BaO,SiO2,58,0.9952998211
铅钡,BaO,Na2O,02,1
铅钡,BaO,Na2O,08,0.7856726957
铅钡,BaO,Na2O,08严重风化点,0.7889756224
铅钡,BaO,Na2O,11,0.886824654
铅钡,BaO,Na2O,19,0.9553540579
铅钡,BaO,Na2O,20,0.8293870415
铅钡,BaO,Na2O,23未风化点,0.5886583154
铅钡,BaO,Na2O,24,0.8135905088
铅钡,BaO,Na2O,25未风化点,0.8503847081
铅钡,BaO,Na2O,26,0.7802111217
铅钡,BaO,Na2O,26严重风化点,0.7635590376
铅钡,BaO,Na2O,28未风化点,0.9659134206
铅钡,BaO,Na2O,29未风化点,0.9298232921
铅钡,BaO,Na2O,30部位1,0.9175293884
铅钡,BaO,Na2O,30部位2,0.9170883806
铅钡,BaO,Na2O,31,0.9709927894
铅钡,BaO,Na2O,32,0.9591158704
铅钡,BaO,Na2O,33,0.9699233391
铅钡,BaO,Na2O,34,0.9196669193
铅钡,BaO,Na2O,35,0.9527303701
铅钡,BaO,Na2O,36,0.8847145491
铅钡,BaO,Na2O,37,0.9171618525
铅钡,BaO,Na2O,38,0.9485037888
铅钡,BaO,Na2O,39,0.9406746261
铅钡,BaO,Na2O,40,0.9447890973
铅钡,BaO,Na2O,41,0.9214434567
铅钡,BaO,Na2O,42未风化点1,0.6711120713
铅钡,BaO,Na2O,42未风化点2,0.6754912246
铅钡,BaO,Na2O,43部位1,0.940133883
铅钡,BaO,Na2O,43部位2,0.9723122779
铅钡,BaO,Na2O,44未风化点,0.7908814637
铅钡,BaO,Na2O,45,0.8519709432
铅钡,BaO,Na2O,46,0.9192238548
铅钡,BaO,Na2O,47,0.7186589323
铅钡,BaO,Na2O,48,0.9830956135
铅钡,BaO,Na2O,49,0.9494119006
铅钡,BaO,Na2O,49未风化点,0.9646925146
铅钡,BaO,Na2O,50,0.8896502155
铅钡,BaO,Na2O,50未风化点,0.9484680083
铅钡,BaO,Na2O,51部位1,0.9275654232
铅钡,BaO,Na2O,51部位2,1
铅钡,BaO,Na2O,52,0.9540822098
铅钡,BaO,Na2O,53未风化点,0.8133686837
铅钡,BaO,Na2O,54,0.9420679691
铅钡,BaO,Na2O,54严重风化点,1
铅钡,BaO,Na2O,55,0.8298019312
铅钡,BaO,Na2O,56,0.8810913911
铅钡,BaO,Na2O,57,0.8687223077
铅钡,BaO,Na2O,58,0.9372859655
铅钡,BaO,K2O,02,0.6432296514
铅钡,BaO,K2O,08,0.7856726957
铅钡,BaO,K2O,08严重风化点,0.7889756224
铅钡,BaO,K2O,11,0.9835862194
铅钡,BaO,K2O,19,0.9553540579
铅钡,BaO,K2O,20,0.8551814184
铅钡,BaO,K2O,23未风化点,0.9061276033
铅钡,BaO,K2O,24,0.8135905088
铅钡,BaO,K2O,25未风化点,0.9451010847
铅钡,BaO,K2O,26,0.7802111217
铅钡,BaO,K2O,26严重风化点,0.9104488041
铅钡,BaO,K2O,28未风化点,0.9073968888
铅钡,BaO,K2O,29未风化点,0.8766234215
铅钡,BaO,K2O,30部位1,0.6042519964
铅钡,BaO,K2O,30部位2,0.9170883806
铅钡,BaO,K2O,31,0.9709927894
铅钡,BaO,K2O,32,0.9360631021
铅钡,BaO,K2O,33,0.953991774
铅钡,BaO,K2O,34,0.9572030203
铅钡,BaO,K2O,35,0.9527303701
铅钡,BaO,K2O,36,0.9797713501
铅钡,BaO,K2O,37,0.9697668455
铅钡,BaO,K2O,38,0.9212210143
铅钡,BaO,K2O,39,0.9406746261
铅钡,BaO,K2O,40,0.9447890973
铅钡,BaO,K2O,41,0.8717081452
铅钡,BaO,K2O,42未风化点1,0.987928244
铅钡,BaO,K2O,42未风化点2,0.9175592366
铅钡,BaO,K2O,43部位1,0.940133883
铅钡,BaO,K2O,43部位2,0.9723122779
铅钡,BaO,K2O,44未风化点,0.9433502029
铅钡,BaO,K2O,45,0.9637354762
铅钡,BaO,K2O,46,0.9576834625
铅钡,BaO,K2O,47,0.9323434536
铅钡,BaO,K2O,48,0.9048261892
铅钡,BaO,K2O,49,0.9494119006
铅钡,BaO,K2O,49未风化点,0.8913664588
铅钡,BaO,K2O,50,0.8896502155
铅钡,BaO,K2O,50未风化点,0.9484680083
铅钡,BaO,K2O,51部位1,0.9275654232
铅钡,BaO,K2O,51部位2,1
铅钡,BaO,K2O,52,0.9298255413
铅钡,BaO,K2O,53未风化点,0.9799875386
铅钡,BaO,K2O,54,0.9028994091
铅钡,BaO,K2O,54严重风化点,1
铅钡,BaO,K2O,55,0.9350658469
铅钡,BaO,K2O,56,0.8810913911
铅钡,BaO,K2O,57,0.8687223077
铅钡,BaO,K2O,58,0.8987211153
铅钡,BaO,CaO,02,0.9053077418
铅钡,BaO,CaO,08,0.8287479892
铅钡,BaO,CaO,08严重风化点,0.8889876878
铅钡,BaO,CaO,11,0.9715562205
铅钡,BaO,CaO,19,0.9223074936
铅钡,BaO,CaO,20,0.8293870415
铅钡,BaO,CaO,23未风化点,0.9248575522
铅钡,BaO,CaO,24,0.8277386488
铅钡,BaO,CaO,25未风化点,0.9709424027
铅钡,BaO,CaO,26,0.8214651292
铅钡,BaO,CaO,26严重风化点,0.8509834257
铅钡,BaO,CaO,28未风化点,0.9759831873
铅钡,BaO,CaO,29未风化点,0.8964812207
铅钡,BaO,CaO,30部位1,0.9002380678
铅钡,BaO,CaO,30部位2,0.9098201637
铅钡,BaO,CaO,31,0.9600196107
铅钡,BaO,CaO,32,0.9784112229
铅钡,BaO,CaO,33,0.9976040978
铅钡,BaO,CaO,34,0.950132664
铅钡,BaO,CaO,35,0.9684019083
铅钡,BaO,CaO,36,0.9275909068
铅钡,BaO,CaO,37,0.9518936118
铅钡,BaO,CaO,38,0.9477593201
铅钡,BaO,CaO,39,0.9867280879
铅钡,BaO,CaO,40,0.9754663074
铅钡,BaO,CaO,41,0.8799287973
铅钡,BaO,CaO,42未风化点1,0.9468414183
铅钡,BaO,CaO,42未风化点2,0.9132111456
铅钡,BaO,CaO,43部位1,0.8543014955
铅钡,BaO,CaO,43部位2,0.795165109
铅钡,BaO,CaO,44未风化点,0.9523264719
铅钡,BaO,CaO,45,0.9450114352
铅钡,BaO,CaO,46,0.9192238548
铅钡,BaO,CaO,47,0.9599363957
铅钡,BaO,CaO,48,0.9414427164
铅钡,BaO,CaO,49,0.8684777622
铅钡,BaO,CaO,49未风化点,0.9466333826
铅钡,BaO,CaO,50,0.9817839402
铅钡,BaO,CaO,50未风化点,0.9215481197
铅钡,BaO,CaO,51部位1,0.9242716207
铅钡,BaO,CaO,51部位2,0.8134655984
铅钡,BaO,CaO,52,0.9746614968
铅钡,BaO,CaO,53未风化点,0.9581644016
铅钡,BaO,CaO,54,0.9249865697
铅钡,BaO,CaO,54严重风化点,1
铅钡,BaO,CaO,55,0.9814187984
铅钡,BaO,CaO,56,0.9251809114
铅钡,BaO,CaO,57,0.9152819403
铅钡,BaO,CaO,58,0.9181969965
铅钡,BaO,MgO,02,0.8565252975
铅钡,BaO,MgO,08,0.7856726957
铅钡,BaO,MgO,08严重风化点,0.7889756224
铅钡,BaO,MgO,11,0.9738710278
铅钡,BaO,MgO,19,0.9643000983
铅钡,BaO,MgO,20,0.8293870415
铅钡,BaO,MgO,23未风化点,0.9971991563
铅钡,BaO,MgO,24,0.8135905088
铅钡,BaO,MgO,25未风化点,0.9451010847
铅钡,BaO,MgO,26,0.7802111217
铅钡,BaO,MgO,26严重风化点,0.7635590376
铅钡,BaO,MgO,28未风化点,0.9036147412
铅钡,BaO,MgO,29未风化点,0.8376738463
铅钡,BaO,MgO,30部位1,0.9530768486
铅钡,BaO,MgO,30部位2,0.9823086304
铅钡,BaO,MgO,31,0.9120202403
铅钡,BaO,MgO,32,0.9591158704
铅钡,BaO,MgO,33,0.9001333718
铅钡,BaO,MgO,34,0.9196669193
铅钡,BaO,MgO,35,0.9527303701
铅钡,BaO,MgO,36,0.9135755214
铅钡,BaO,MgO,37,0.9171618525
铅钡,BaO,MgO,38,0.9212210143
铅钡,BaO,MgO,39,0.9406746261
铅钡,BaO,MgO,40,0.9447890973
铅钡,BaO,MgO,41,0.7678807529
铅钡,BaO,MgO,42未风化点1,0.940489432
铅钡,BaO,MgO,42未风化点2,0.9349012229
铅钡,BaO,MgO,43部位1,0.941032663
铅钡,BaO,MgO,43部位2,0.9038470803
铅钡,BaO,MgO,44未风化点,0.9563916038
铅钡,BaO,MgO,45,0.9907744232
铅钡,BaO,MgO,46,0.8701766954
铅钡,BaO,MgO,47,0.9940666053
铅钡,BaO,MgO,48,0.8659816067
铅钡,BaO,MgO,49,0.8655075638
铅钡,BaO,MgO,49未风化点,0.882030824
铅钡,BaO,MgO,50,0.9457892103
铅钡,BaO,MgO,50未风化点,0.9781631803
铅钡,BaO,MgO,51部位1,0.9167278121
铅钡,BaO,MgO,51部位2,0.8293002354
铅钡,BaO,MgO,52,0.9974016456
铅钡,BaO,MgO,53未风化点,0.9231038037
铅钡,BaO,MgO,54,0.8926906517
铅钡,BaO,MgO,54严重风化点,0.8638779451
铅钡,BaO,MgO,55,0.9350658469
铅钡,BaO,MgO,56,0.8810913911
铅钡,BaO,MgO,57,0.8687223077
铅钡,BaO,MgO,58,0.9567228034
铅钡,BaO,Al2O3,02,0.8747649044
铅钡,BaO,Al2O3,08,0.8068975609
铅钡,BaO,Al2O3,08严重风化点,0.8066253709
铅钡,BaO,Al2O3,11,0.9430324772
铅钡,BaO,Al2O3,19,0.9592655124
铅钡,BaO,Al2O3,20,0.9349803261
铅钡,BaO,Al2O3,23未风化点,0.9362256505
铅钡,BaO,Al2O3,24,0.8407647594
铅钡,BaO,Al2O3,25未风化点,0.9894952243
铅钡,BaO,Al2O3,26,0.7910047976
铅钡,BaO,Al2O3,26严重风化点,0.7811437666
铅钡,BaO,Al2O3,28未风化点,0.924094662
铅钡,BaO,Al2O3,29未风化点,0.7459605808
铅钡,BaO,Al2O3,30部位1,0.9815453906
铅钡,BaO,Al2O3,30部位2,0.9940013867
铅钡,BaO,Al2O3,31,0.9543535425
铅钡,BaO,Al2O3,32,0.9839248276
铅钡,BaO,Al2O3,33,0.9730413727
铅钡,BaO,Al2O3,34,0.9552244071
铅钡,BaO,Al2O3,35,0.9865470029
铅钡,BaO,Al2O3,36,0.9482050666
铅钡,BaO,Al2O3,37,0.9781282851
铅钡,BaO,Al2O3,38,0.9791401252
铅钡,BaO,Al2O3,39,0.9518603149
铅钡,BaO,Al2O3,40,0.9549328889
铅钡,BaO,Al2O3,41,0.9979506115
铅钡,BaO,Al2O3,42未风化点1,0.9967521307
铅钡,BaO,Al2O3,42未风化点2,0.9556772847
铅钡,BaO,Al2O3,43部位1,0.9925933231
铅钡,BaO,Al2O3,43部位2,0.9463219413
铅钡,BaO,Al2O3,44未风化点,0.7864953217
铅钡,BaO,Al2O3,45,0.9716384567
铅钡,BaO,Al2O3,46,0.9691762619
铅钡,BaO,Al2O3,47,0.9958473184
铅钡,BaO,Al2O3,48,0.7829671264
铅钡,BaO,Al2O3,49,0.9249530909
铅钡,BaO,Al2O3,49未风化点,0.8882548397
铅钡,BaO,Al2O3,50,0.9282334088
铅钡,BaO,Al2O3,50未风化点,0.952738497
铅钡,BaO,Al2O3,51部位1,0.9495951129
铅钡,BaO,Al2O3,51部位2,0.940988313
铅钡,BaO,Al2O3,52,0.9555772068
铅钡,BaO,Al2O3,53未风化点,0.9320693578
铅钡,BaO,Al2O3,54,0.9595148181
铅钡,BaO,Al2O3,54严重风化点,0.9164261487
铅钡,BaO,Al2O3,55,0.967852685
铅钡,BaO,Al2O3,56,0.9184982371
铅钡,BaO,Al2O3,57,0.9118692597
铅钡,BaO,Al2O3,58,0.9793963404
铅钡,BaO,Fe2O3,02,0.793746541
铅钡,BaO,Fe2O3,08,0.7856726957
铅钡,BaO,Fe2O3,08严重风化点,0.7889756224
铅钡,BaO,Fe2O3,11,0.886824654
铅钡,BaO,Fe2O3,19,0.8779069015
铅钡,BaO,Fe2O3,20,0.9947851571
铅钡,BaO,Fe2O3,23未风化点,0.9061276033
铅钡,BaO,Fe2O3,24,0.8135905088
铅钡,BaO,Fe2O3,25未风化点,0.863220821
铅钡,BaO,Fe2O3,26,0.7802111217
铅钡,BaO,Fe2O3,26严重风化点,0.7635590376
铅钡,BaO,Fe2O3,28未风化点,0.9784842586
铅钡,BaO,Fe2O3,29未风化点,0.9128855848
铅钡,BaO,Fe2O3,30部位1,0.8289897697
铅钡,BaO,Fe2O3,30部位2,0.7737665854
铅钡,BaO,Fe2O3,31,0.6205922184
铅钡,BaO,Fe2O3,32,0.9115135978
铅钡,BaO,Fe2O3,33,0.9699233391
铅钡,BaO,Fe2O3,34,0.9787707828
铅钡,BaO,Fe2O3,35,0.9747867898
铅钡,BaO,Fe2O3,36,0.9524759982
铅钡,BaO,Fe2O3,37,0.9171618525
铅钡,BaO,Fe2O3,38,0.9569360595
铅钡,BaO,Fe2O3,39,0.9406746261
铅钡,BaO,Fe2O3,40,0.9690921025
铅钡,BaO,Fe2O3,41,0.8585054297
铅钡,BaO,Fe2O3,42未风化点1,0.9162076356
铅钡,BaO,Fe2O3,42未风化点2,0.9132111456
铅钡,BaO,Fe2O3,43部位1,0.9592361411
铅钡,BaO,Fe2O3,43部位2,0.857845313
铅钡,BaO,Fe2O3,44未风化点,0.9416420286
铅钡,BaO,Fe2O3,45,0.9126287485
铅钡,BaO,Fe2O3,46,0.9192238548
铅钡,BaO,Fe2O3,47,0.925391062
铅钡,BaO,Fe2O3,48,0.925890486
铅钡,BaO,Fe2O3,49,0.7521606358
铅钡,BaO,Fe2O3,49未风化点,0.8765598805
铅钡,BaO,Fe2O3,50,0.9276995463
铅钡,BaO,Fe2O3,50未风化点,0.9484680083
铅钡,BaO,Fe2O3,51部位1,0.9189860711
铅钡,BaO,Fe2O3,51部位2,0.944576629
铅钡,BaO,Fe2O3,52,0.9584614119
铅钡,BaO,Fe2O3,53未风化点,0.9271898047
铅钡,BaO,Fe2O3,54,0.9420679691
铅钡,BaO,Fe2O3,54严重风化点,1
铅钡,BaO,Fe2O3,55,0.9350658469
铅钡,BaO,Fe2O3,56,0.8810913911
铅钡,BaO,Fe2O3,57,0.8687223077
铅钡,BaO,Fe2O3,58,0.9494561457
铅钡,BaO,CuO,02,0.9874831305
铅钡,BaO,CuO,08,0.809904173
铅钡,BaO,CuO,08严重风化点,0.8973560105
铅钡,BaO,CuO,11,0.8986915178
铅钡,BaO,CuO,19,0.8893732859
铅钡,BaO,CuO,20,0.9734017973
铅钡,BaO,CuO,23未风化点,0.9595352105
铅钡,BaO,CuO,24,0.8450780783
铅钡,BaO,CuO,25未风化点,0.9965265027
铅钡,BaO,CuO,26,0.8106325292
铅钡,BaO,CuO,26严重风化点,0.8817182683
铅钡,BaO,CuO,28未风化点,0.9811604367
铅钡,BaO,CuO,29未风化点,0.9819860429
铅钡,BaO,CuO,30部位1,0.9175293884
铅钡,BaO,CuO,30部位2,0.9170883806
铅钡,BaO,CuO,31,0.9916474797
铅钡,BaO,CuO,32,0.9640745618
铅钡,BaO,CuO,33,0.9919691525
铅钡,BaO,CuO,34,0.986451457
铅钡,BaO,CuO,35,0.9598636991
铅钡,BaO,CuO,36,0.9421084913
铅钡,BaO,CuO,37,0.9465900665
铅钡,BaO,CuO,38,0.9524473011
铅钡,BaO,CuO,39,0.9802335394
铅钡,BaO,CuO,40,0.9447890973
铅钡,BaO,CuO,41,0.9293758892
铅钡,BaO,CuO,42未风化点1,0.9627305189
铅钡,BaO,CuO,42未风化点2,0.9637917782
铅钡,BaO,CuO,43部位1,0.8353206553
铅钡,BaO,CuO,43部位2,0.9568101622
铅钡,BaO,CuO,44未风化点,0.9759587903
铅钡,BaO,CuO,45,0.934669208
铅钡,BaO,CuO,46,0.9520769863
铅钡,BaO,CuO,47,0.9533475494
铅钡,BaO,CuO,48,0.9399794991
铅钡,BaO,CuO,49,0.9812029035
铅钡,BaO,CuO,49未风化点,0.9855505313
铅钡,BaO,CuO,50,0.9354996578
铅钡,BaO,CuO,50未风化点,0.9801947741
铅钡,BaO,CuO,51部位1,0.9888254898
铅钡,BaO,CuO,51部位2,0.964725747
铅钡,BaO,CuO,52,0.9602973284
铅钡,BaO,CuO,53未风化点,0.9503881009
铅钡,BaO,CuO,54,0.9794028157
铅钡,BaO,CuO,54严重风化点,0.938678289
铅钡,BaO,CuO,55,0.9732202329
铅钡,BaO,CuO,56,0.9120409954
铅钡,BaO,CuO,57,0.9136062198
铅钡,BaO,CuO,58,0.9210786608
铅钡,BaO,PbO,02,0.8847021421
铅钡,BaO,PbO,08,0.8375277443
铅钡,BaO,PbO,08严重风化点,0.8486780945
铅钡,BaO,PbO,11,0.9453098109
铅钡,BaO,PbO,19,0.9337725302
铅钡,BaO,PbO,20,0.8473456141
铅钡,BaO,PbO,23未风化点,0.9461264304
铅钡,BaO,PbO,24,0.8702831976
铅钡,BaO,PbO,25未风化点,0.9712848372
铅钡,BaO,PbO,26,0.8329415301
铅钡,BaO,PbO,26严重风化点,0.8147005109
铅钡,BaO,PbO,28未风化点,0.9883314743
铅钡,BaO,PbO,29未风化点,0.9841626263
铅钡,BaO,PbO,30部位1,0.9824322689
铅钡,BaO,PbO,30部位2,0.986883176
铅钡,BaO,PbO,31,0.9846387977
铅钡,BaO,PbO,32,0.9884666949
铅钡,BaO,PbO,33,0.9867833296
铅钡,BaO,PbO,34,0.9610249125
铅钡,BaO,PbO,35,0.9891469639
铅钡,BaO,PbO,36,0.9806498237
铅钡,BaO,PbO,37,0.9588191386
铅钡,BaO,PbO,38,0.9524047285
铅钡,BaO,PbO,39,0.9052838136
铅钡,BaO,PbO,40,0.8814614951
铅钡,BaO,PbO,41,0.9652740549
铅钡,BaO,PbO,42未风化点1,0.9696163585
铅钡,BaO,PbO,42未风化点2,0.9617668218
铅钡,BaO,PbO,43部位1,0.9084531684
铅钡,BaO,PbO,43部位2,0.9136726449
铅钡,BaO,PbO,44未风化点,0.9918662462
铅钡,BaO,PbO,45,0.9507511732
铅钡,BaO,PbO,46,0.981841247
铅钡,BaO,PbO,47,0.9892837135
铅钡,BaO,PbO,48,0.9797328051
铅钡,BaO,PbO,49,0.9609534423
铅钡,BaO,PbO,49未风化点,0.9740393434
铅钡,BaO,PbO,50,0.9968718248
铅钡,BaO,PbO,50未风化点,0.9710853398
铅钡,BaO,PbO,51部位1,0.9685447504
铅钡,BaO,PbO,51部位2,0.8763723618
铅钡,BaO,PbO,52,0.9480237577
铅钡,BaO,PbO,53未风化点,0.9606202466
铅钡,BaO,PbO,54,0.9166797575
铅钡,BaO,PbO,54严重风化点,0.8616001519
